epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,128.134,1.10714,0.67129,1.19655,0.88834,0.95484,0.87612,0.49172,1.63445,0.70758,1.62336,0.0014852,0.0014852,0.0014852
132,129.103,1.10689,0.67817,1.10025,0.88502,0.96,0.91807,0.52912,1.6468,0.74982,1.6172,0.00148124,0.00148124,0.00148124
133,130.06,1.08524,0.6501,1.09871,0.88531,0.96,0.93543,0.53625,1.65344,0.72503,1.59859,0.00147728,0.00147728,0.00147728
134,131.031,1.08217,0.63473,1.10674,0.85152,0.91764,0.91846,0.54899,1.72704,0.71515,1.66407,0.00147332,0.00147332,0.00147332
135,132.009,1.0671,0.65883,1.07913,0.8473,0.92,0.92815,0.53916,1.76281,0.69101,1.64143,0.00146936,0.00146936,0.00146936
136,132.978,1.11109,0.63002,1.11741,0.88411,0.96,0.94775,0.51023,1.769,0.68214,1.5891,0.0014654,0.0014654,0.0014654
137,133.934,0.99119,0.61385,1.06331,0.88558,0.96,0.94039,0.49495,1.78891,0.68565,1.626,0.00146144,0.00146144,0.00146144
138,134.899,1.0103,0.60372,1.09915,0.85339,0.96,0.9406,0.43594,1.90062,0.73865,1.64593,0.00145748,0.00145748,0.00145748
139,135.863,1.1319,0.62329,1.12723,0.82403,0.96,0.92183,0.41227,1.93446,0.83174,1.65139,0.00145352,0.00145352,0.00145352
140,136.829,1.04988,0.63776,1.0721,0.76638,0.92,0.89641,0.39949,1.98068,0.8889,1.78226,0.00144956,0.00144956,0.00144956
141,137.784,1.129,0.64575,1.126,0.8104,0.88,0.89983,0.38311,2.04496,0.85504,1.78885,0.0014456,0.0014456,0.0014456
142,138.75,1.06012,0.63105,1.07212,0.95904,0.8,0.95667,0.43294,1.87244,0.75538,1.66522,0.00144164,0.00144164,0.00144164
143,139.716,1.05914,0.60313,1.05946,0.86562,0.92,0.94368,0.49237,1.67644,0.70192,1.48897,0.00143768,0.00143768,0.00143768
144,140.68,1.12103,0.66474,1.12052,0.82118,0.91851,0.83784,0.38801,1.91413,0.8067,1.58931,0.00143372,0.00143372,0.00143372
145,141.638,0.99866,0.61856,1.06639,0.85624,0.95321,0.91088,0.41704,1.83711,0.79247,1.57378,0.00142976,0.00142976,0.00142976
146,142.607,1.02666,0.63753,1.06597,0.85693,0.96,0.91257,0.41411,1.8143,0.74272,1.63817,0.0014258,0.0014258,0.0014258
147,143.572,0.96269,0.6186,1.12525,0.88866,0.95781,0.92636,0.40678,1.78997,0.67856,1.6578,0.00142184,0.00142184,0.00142184
148,144.539,1.01489,0.59245,1.10659,0.91967,0.92,0.95132,0.5452,1.6265,0.65751,1.57563,0.00141788,0.00141788,0.00141788
149,145.492,0.99153,0.59227,1.06301,0.9428,0.92,0.95288,0.54516,1.6123,0.67266,1.58812,0.00141392,0.00141392,0.00141392
