epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,469.054,1.20544,0.55943,0.94834,0.93646,0.98262,0.97845,0.57667,1.41839,0.64672,1.05122,0.00147332,0.00147332,0.00147332
135,472.585,1.24386,0.57271,0.94587,0.94874,0.95833,0.97468,0.58757,1.3976,0.63273,1.07902,0.00146936,0.00146936,0.00146936
136,476.148,1.20423,0.55074,0.93908,0.93576,0.97119,0.97905,0.59157,1.42202,0.62692,1.06887,0.0014654,0.0014654,0.0014654
137,479.667,1.22374,0.56076,0.95478,0.93585,0.97264,0.9799,0.57308,1.43086,0.6307,1.04019,0.00146144,0.00146144,0.00146144
138,483.196,1.21565,0.56471,0.9535,0.92897,0.98093,0.97945,0.58439,1.43911,0.6202,1.04344,0.00145748,0.00145748,0.00145748
139,486.701,1.20765,0.56977,0.94118,0.93289,0.98333,0.98157,0.56938,1.43169,0.6434,1.04589,0.00145352,0.00145352,0.00145352
140,490.224,1.2325,0.56933,0.94736,0.94938,0.93769,0.97171,0.51143,1.56625,0.68702,1.08204,0.00144956,0.00144956,0.00144956
141,493.923,1.20842,0.56489,0.96095,0.93946,0.95833,0.97633,0.57224,1.49458,0.65512,1.0774,0.0014456,0.0014456,0.0014456
142,497.438,1.18574,0.56809,0.9418,0.97431,0.94803,0.98268,0.57859,1.4448,0.64679,1.04391,0.00144164,0.00144164,0.00144164
143,500.974,1.1655,0.55395,0.94828,0.96272,0.94167,0.97619,0.57684,1.40762,0.61271,1.04582,0.00143768,0.00143768,0.00143768
144,504.545,1.179,0.55389,0.9246,0.96633,0.9567,0.97243,0.57129,1.42759,0.63764,1.0425,0.00143372,0.00143372,0.00143372
145,508.061,1.15541,0.54201,0.94512,0.94976,0.96667,0.96949,0.58183,1.43695,0.65428,1.10255,0.00142976,0.00142976,0.00142976
146,511.594,1.16799,0.55677,0.94586,0.96259,0.96667,0.98027,0.59493,1.4645,0.61811,1.08843,0.0014258,0.0014258,0.0014258
147,515.103,1.20567,0.55387,0.96176,0.93589,0.9732,0.9751,0.5907,1.49341,0.65395,1.07086,0.00142184,0.00142184,0.00142184
148,518.638,1.16095,0.54415,0.95213,0.95592,0.96667,0.97863,0.59614,1.47696,0.64042,1.05762,0.00141788,0.00141788,0.00141788
149,522.148,1.19366,0.54981,0.94748,0.94385,0.98333,0.98129,0.60235,1.4283,0.61893,1.0281,0.00141392,0.00141392,0.00141392
150,525.694,1.16694,0.55292,0.94155,0.94952,0.975,0.98199,0.595,1.47541,0.64925,1.05173,0.00140996,0.00140996,0.00140996
151,529.358,1.1907,0.55948,0.95396,0.94761,0.95,0.96462,0.57527,1.45412,0.64791,1.0393,0.001406,0.001406,0.001406
152,532.903,1.17012,0.54833,0.9332,0.94378,0.99167,0.97776,0.59539,1.42161,0.64102,1.04122,0.00140204,0.00140204,0.00140204
153,536.439,1.16621,0.53954,0.94447,0.94175,0.98333,0.97817,0.60666,1.45118,0.6138,1.05825,0.00139808,0.00139808,0.00139808
154,539.979,1.15087,0.53464,0.94997,0.91289,0.98333,0.97795,0.57785,1.49491,0.63524,1.08267,0.00139412,0.00139412,0.00139412
155,543.496,1.18433,0.55405,0.92149,0.9121,0.975,0.97739,0.57674,1.48978,0.67108,1.07998,0.00139016,0.00139016,0.00139016
156,547.019,1.21836,0.56803,0.95266,0.94698,0.975,0.98135,0.59202,1.43604,0.65959,1.08567,0.0013862,0.0013862,0.0013862
157,550.545,1.13782,0.52624,0.94078,0.94673,0.96667,0.9734,0.5832,1.43252,0.63262,1.06729,0.00138224,0.00138224,0.00138224
158,554.115,1.14415,0.52918,0.95116,0.94351,0.97424,0.9802,0.56874,1.45241,0.62757,1.08578,0.00137828,0.00137828,0.00137828
159,557.654,1.13845,0.53213,0.93332,0.95707,0.98333,0.98217,0.58334,1.4617,0.66659,1.05827,0.00137432,0.00137432,0.00137432
160,561.415,1.16047,0.53525,0.93774,0.94791,0.975,0.97562,0.58383,1.42663,0.6506,1.05297,0.00137036,0.00137036,0.00137036
161,565.353,1.13324,0.53691,0.92591,0.95152,0.98333,0.97464,0.58437,1.44135,0.63946,1.05948,0.0013664,0.0013664,0.0013664
162,568.889,1.15635,0.52407,0.93643,0.93566,0.975,0.97771,0.58115,1.41406,0.62805,1.05083,0.00136244,0.00136244,0.00136244
163,572.405,1.1834,0.52647,0.93768,0.92797,0.9662,0.9704,0.58598,1.43671,0.64949,1.0662,0.00135848,0.00135848,0.00135848
164,575.949,1.14635,0.54511,0.92558,0.94868,0.96667,0.97032,0.57922,1.46976,0.65494,1.05695,0.00135452,0.00135452,0.00135452
165,579.478,1.15495,0.54052,0.94044,0.95065,0.9632,0.97785,0.58276,1.43515,0.63411,1.04646,0.00135056,0.00135056,0.00135056
166,583.023,1.15581,0.53469,0.94451,0.94992,0.94847,0.97799,0.59444,1.4637,0.66933,1.06011,0.0013466,0.0013466,0.0013466
167,586.542,1.15924,0.53094,0.94515,0.9302,0.96667,0.9751,0.59218,1.43426,0.66025,1.06195,0.00134264,0.00134264,0.00134264
168,590.078,1.1323,0.51703,0.93966,0.92783,0.96423,0.9779,0.59938,1.47685,0.66948,1.08334,0.00133868,0.00133868,0.00133868
169,593.599,1.15749,0.53327,0.94821,0.92907,0.98241,0.98165,0.60441,1.41651,0.66065,1.06137,0.00133472,0.00133472,0.00133472
170,597.438,1.17178,0.54872,0.94575,0.95061,0.975,0.98203,0.59653,1.43806,0.63919,1.04094,0.00133076,0.00133076,0.00133076
171,601.243,1.14352,0.53716,0.94945,0.93581,0.975,0.97878,0.62696,1.39629,0.63041,1.04444,0.0013268,0.0013268,0.0013268
172,604.732,1.13728,0.53184,0.92692,0.96525,0.975,0.98172,0.60767,1.47293,0.62635,1.07542,0.00132284,0.00132284,0.00132284
173,608.262,1.11679,0.52408,0.92209,0.95066,0.975,0.98073,0.59871,1.45547,0.62182,1.06592,0.00131888,0.00131888,0.00131888
174,611.798,1.09667,0.50602,0.93064,0.95653,0.95833,0.98089,0.58011,1.5026,0.66144,1.09036,0.00131492,0.00131492,0.00131492
175,615.316,1.13275,0.52786,0.93608,0.93265,0.96667,0.97158,0.5594,1.50958,0.67171,1.09084,0.00131096,0.00131096,0.00131096
176,618.85,1.13109,0.53201,0.93032,0.95872,0.96777,0.98309,0.57798,1.44334,0.63076,1.07568,0.001307,0.001307,0.001307
177,622.377,1.14028,0.51677,0.92536,0.96539,0.975,0.98275,0.59566,1.43361,0.64146,1.06831,0.00130304,0.00130304,0.00130304
178,625.878,1.13223,0.52318,0.93391,0.96688,0.97299,0.98119,0.57878,1.50662,0.6558,1.09027,0.00129908,0.00129908,0.00129908
179,629.411,1.11547,0.52362,0.93908,0.95011,0.98333,0.98262,0.61121,1.43666,0.6329,1.03479,0.00129512,0.00129512,0.00129512
180,632.817,1.13089,0.52659,0.93386,0.95111,0.97278,0.97796,0.587,1.45813,0.64987,1.06404,0.00129116,0.00129116,0.00129116
